MSE,RMSE,MAE,Recall,Precision,Accuracy,F1-Score,Avg. Fit Time (s),Avg. Predict Time (s),Num Params,Model
0.045899999999999996,0.19690000000000002,0.147,0.6237,0.6874,0.9655999999999999,0.6308,0.0533,0.1028,5.0,LinearRegression
0.0718,0.25660000000000005,0.1835,0.6603,0.6134999999999999,0.9368000000000001,0.6217,0.5571999999999999,0.135,9.0,LGBMRegressor
0.07060000000000001,0.24980000000000002,0.1916,0.5957,0.6003000000000001,0.9483,0.5967,0.31930000000000003,0.10170000000000001,9.0,XGBRegressor
0.0498,0.2121,0.159,0.6138,0.6147,0.9599,0.6136,14.547400000000001,0.1911,6.0,RandomForestRegressor
0.041999999999999996,0.1951,0.1414,0.6261,0.6789,0.9667,0.6325000000000001,51.6725,0.0705,7.0,SVR
