MSE,RMSE,MAE,Recall,Precision,Accuracy,F1-Score,Avg. Fit Time (s),Avg. Predict Time (s),Num Params,Model
0.015000000000000003,0.12029999999999999,0.0905,0.7245,0.7409,0.9741,0.7294,0.32239999999999996,0.12389999999999998,5.0,LinearRegression
0.0639,0.23690000000000003,0.17,0.6752999999999999,0.6100999999999999,0.9494999999999999,0.6229000000000001,0.8568999999999999,0.11000000000000001,9.0,LGBMRegressor
0.0941,0.29480000000000006,0.2156,0.6499,0.6256999999999999,0.9545,0.6355999999999999,1.3144000000000002,0.1418,9.0,XGBRegressor
0.0442,0.20070000000000002,0.1454,0.616,0.6527999999999999,0.9622999999999999,0.6186999999999999,39.1034,0.6009,6.0,RandomForestRegressor
0.12409999999999999,0.334,0.25389999999999996,0.6046,0.5929,0.9608000000000001,0.5986,2.7313,0.0020000000000000005,8.0,ARIMA
0.014799999999999999,0.11990000000000003,0.09159999999999999,0.7651,0.7341,0.9772000000000001,0.7433,51.28869999999999,0.08929999999999999,7.0,SVR
